DOMAIN                                                                                              IP ADDRESS
store-d-1-i.idm.it.tuwien.ac.at                                                                     No IP, maybe it is down or unreachable
store-i.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
www.store-i.idm.it.tuwien.ac.at                                                                     No IP, maybe it is down or unreachable
test-bi.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
test-d.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
test-d-i.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
tlogin.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
indico-t.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.indico-t.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.infoscreen.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
www.invenio-prod.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
isdp.it.tuwien.ac.at                                                                                No IP, maybe it is down or unreachable
www.jira.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
jira-dev.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.jira-dev.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.jira-test.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
kibana.it.tuwien.ac.at                                                                              No IP, maybe it is down or unreachable
la-test.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
matrix-dev.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
moo.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
fw-mho-2-201.netsec.it.tuwien.ac.at                                                                 No IP, maybe it is down or unreachable
www.oase4.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
www.owncloud.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
pk.it.tuwien.ac.at                                                                                  No IP, maybe it is down or unreachable
pkpi.it.tuwien.ac.at                                                                                No IP, maybe it is down or unreachable
www.pkpi.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.psrest.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
www.qlogin.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
www.raws.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.search.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
www.search1.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
www.search2.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
monitor.seas.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.monitor.seas.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
www.selma.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
www.service.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
support-f.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
www.survey.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
test-dh.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
www.test-dh.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
tex.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
www.tex.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
www.tube1.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
tubetest.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
tuck-test.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
www.tuckboot.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.tudocs.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
tuprocloud.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
veeam.it.tuwien.ac.at                                                                               No IP, maybe it is down or unreachable
web-s-1.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
www.web-s-1.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
wspk.it.tuwien.ac.at                                                                                No IP, maybe it is down or unreachable
wspk2.it.tuwien.ac.at                                                                               No IP, maybe it is down or unreachable
yum.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
zam.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
